Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,156,1,Some Random Commen with Id 0
1,0,2,37,7,Some Random Commen with Id 1
2,0,2,173,1,Some Random Commen with Id 2
3,1,1,101,9,Some Random Commen with Id 3
4,1,1,14,5,Some Random Commen with Id 4
5,1,1,64,7,Some Random Commen with Id 5
6,1,1,193,7,Some Random Commen with Id 6
7,1,1,15,6,Some Random Commen with Id 7
8,1,1,72,6,Some Random Commen with Id 8
9,1,1,173,9,Some Random Commen with Id 9
10,1,1,166,8,Some Random Commen with Id 10
11,1,1,114,8,Some Random Commen with Id 11
12,2,7,41,0,Some Random Commen with Id 12
13,2,7,122,1,Some Random Commen with Id 13
14,2,7,156,5,Some Random Commen with Id 14
15,2,7,17,5,Some Random Commen with Id 15
16,2,7,175,8,Some Random Commen with Id 16
17,2,7,135,8,Some Random Commen with Id 17
18,2,7,58,9,Some Random Commen with Id 18
19,3,4,80,9,Some Random Commen with Id 19
20,3,4,67,1,Some Random Commen with Id 20
21,5,8,163,2,Some Random Commen with Id 21
22,5,8,142,5,Some Random Commen with Id 22
23,5,8,156,3,Some Random Commen with Id 23
24,5,8,80,1,Some Random Commen with Id 24
25,5,8,60,1,Some Random Commen with Id 25
26,5,8,160,4,Some Random Commen with Id 26
27,5,8,23,4,Some Random Commen with Id 27
28,5,8,182,1,Some Random Commen with Id 28
29,6,8,151,3,Some Random Commen with Id 29
30,6,8,122,4,Some Random Commen with Id 30
31,6,8,74,7,Some Random Commen with Id 31
32,6,8,167,6,Some Random Commen with Id 32
33,6,8,38,0,Some Random Commen with Id 33
34,6,8,141,3,Some Random Commen with Id 34
35,6,8,66,4,Some Random Commen with Id 35
36,7,1,135,9,Some Random Commen with Id 36
37,8,3,104,0,Some Random Commen with Id 37
38,8,3,1,2,Some Random Commen with Id 38
39,8,3,106,6,Some Random Commen with Id 39
40,8,3,56,9,Some Random Commen with Id 40
41,8,3,198,2,Some Random Commen with Id 41
42,9,8,187,4,Some Random Commen with Id 42
43,9,8,169,3,Some Random Commen with Id 43
44,9,8,96,9,Some Random Commen with Id 44
45,9,8,106,8,Some Random Commen with Id 45
46,10,5,103,0,Some Random Commen with Id 46
47,10,5,117,2,Some Random Commen with Id 47
48,10,5,116,2,Some Random Commen with Id 48
49,10,5,158,9,Some Random Commen with Id 49
50,10,5,99,6,Some Random Commen with Id 50
51,10,5,70,5,Some Random Commen with Id 51
52,11,0,66,3,Some Random Commen with Id 52
53,11,0,67,7,Some Random Commen with Id 53
54,11,0,109,5,Some Random Commen with Id 54
55,11,0,135,9,Some Random Commen with Id 55
56,11,0,191,6,Some Random Commen with Id 56
57,12,9,151,2,Some Random Commen with Id 57
58,12,9,70,5,Some Random Commen with Id 58
59,12,9,33,4,Some Random Commen with Id 59
60,12,9,13,8,Some Random Commen with Id 60
61,12,9,162,2,Some Random Commen with Id 61
62,12,9,87,4,Some Random Commen with Id 62
63,12,9,8,8,Some Random Commen with Id 63
64,12,9,185,1,Some Random Commen with Id 64
65,12,9,55,0,Some Random Commen with Id 65
66,13,2,126,3,Some Random Commen with Id 66
67,13,2,4,2,Some Random Commen with Id 67
68,13,2,112,8,Some Random Commen with Id 68
69,13,2,189,7,Some Random Commen with Id 69
70,13,2,63,3,Some Random Commen with Id 70
71,13,2,13,9,Some Random Commen with Id 71
72,13,2,98,2,Some Random Commen with Id 72
73,14,4,39,0,Some Random Commen with Id 73
74,16,8,104,9,Some Random Commen with Id 74
75,16,8,15,4,Some Random Commen with Id 75
76,16,8,104,7,Some Random Commen with Id 76
77,16,8,174,9,Some Random Commen with Id 77
78,16,8,155,8,Some Random Commen with Id 78
79,17,5,16,3,Some Random Commen with Id 79
80,17,5,3,4,Some Random Commen with Id 80
81,17,5,65,6,Some Random Commen with Id 81
82,17,5,103,9,Some Random Commen with Id 82
83,17,5,122,7,Some Random Commen with Id 83
84,18,6,3,7,Some Random Commen with Id 84
85,18,6,143,0,Some Random Commen with Id 85
86,18,6,125,2,Some Random Commen with Id 86
87,19,0,161,1,Some Random Commen with Id 87
88,19,0,65,6,Some Random Commen with Id 88
89,19,0,188,1,Some Random Commen with Id 89
90,19,0,80,2,Some Random Commen with Id 90
91,19,0,119,8,Some Random Commen with Id 91
92,19,0,126,3,Some Random Commen with Id 92
93,19,0,74,2,Some Random Commen with Id 93
94,20,9,176,1,Some Random Commen with Id 94
95,20,9,155,7,Some Random Commen with Id 95
96,20,9,198,0,Some Random Commen with Id 96
97,20,9,47,3,Some Random Commen with Id 97
98,20,9,198,2,Some Random Commen with Id 98
99,21,7,40,6,Some Random Commen with Id 99
100,21,7,169,2,Some Random Commen with Id 100
101,21,7,63,3,Some Random Commen with Id 101
102,21,7,24,1,Some Random Commen with Id 102
103,21,7,169,7,Some Random Commen with Id 103
104,21,7,104,3,Some Random Commen with Id 104
105,21,7,160,6,Some Random Commen with Id 105
106,21,7,155,2,Some Random Commen with Id 106
107,21,7,143,4,Some Random Commen with Id 107
108,22,4,70,4,Some Random Commen with Id 108
109,23,9,62,7,Some Random Commen with Id 109
110,23,9,80,6,Some Random Commen with Id 110
111,23,9,168,4,Some Random Commen with Id 111
112,24,3,175,6,Some Random Commen with Id 112
113,25,8,62,3,Some Random Commen with Id 113
114,25,8,42,0,Some Random Commen with Id 114
115,26,2,51,6,Some Random Commen with Id 115
116,26,2,76,8,Some Random Commen with Id 116
117,26,2,147,3,Some Random Commen with Id 117
